warmup jev: ok 879ms
warmup llm: ok 1294ms
r2 h18 expected=reschedule llm=reschedule(1245ms) jev=reschedule(495ms)
r2 h19 expected=location jev=location(477ms) llm=location(1272ms)
r2 h20 expected=cancel llm=cancel(1067ms) jev=cancel(402ms)
r3 s01 expected=reschedule llm=reschedule(1195ms) jev=reschedule(471ms)
r3 s02 expected=reschedule jev=reschedule(418ms) llm=reschedule(933ms)
r3 s03 expected=reschedule llm=reschedule(1179ms) jev=reschedule(383ms)
r3 s04 expected=reschedule jev=reschedule(383ms) llm=reschedule(1197ms)
r3 s05 expected=reschedule llm=reschedule(1462ms) jev=reschedule(648ms)
r3 s06 expected=cancel jev=cancel(378ms) llm=cancel(1231ms)
r3 s07 expected=cancel llm=cancel(1022ms) jev=cancel(410ms)
r3 s08 expected=cancel jev=cancel(604ms) llm=cancel(1048ms)
r3 s09 expected=cancel llm=cancel(1258ms) jev=cancel(362ms)
r3 s10 expected=cancel jev=cancel(481ms) llm=cancel(1047ms)
r3 s11 expected=refund llm=refund(1195ms) jev=refund(373ms)
r3 s12 expected=refund jev=refund(530ms) llm=refund(1061ms)
r3 s13 expected=refund llm=refund(1092ms) jev=refund(347ms)
r3 s14 expected=refund jev=refund(342ms) llm=refund(854ms)
r3 s15 expected=refund llm=refund(1187ms) jev=refund(379ms)
r3 s16 expected=location jev=location(495ms) llm=location(1399ms)
r3 s17 expected=location llm=location(1836ms) jev=location(433ms)
r3 s18 expected=location jev=location(384ms) llm=location(1289ms)
r3 s19 expected=location llm=location(945ms) jev=location(392ms)
r3 s20 expected=location jev=location(364ms) llm=location(2010ms)
r3 s21 expected=pricing llm=pricing(1248ms) jev=pricing(417ms)
r3 s22 expected=pricing jev=pricing(345ms) llm=pricing(1511ms)
r3 s23 expected=pricing llm=pricing(1055ms) jev=pricing(362ms)
r3 s24 expected=pricing jev=pricing(463ms) llm=pricing(1384ms)
r3 s25 expected=pricing llm=pricing(1479ms) jev=pricing(381ms)
r3 s26 expected=group_size jev=group_size(325ms) llm=group_size(1268ms)
r3 s27 expected=group_size llm=group_size(1265ms) jev=group_size(405ms)
r3 s28 expected=group_size jev=group_size(555ms) llm=group_size(1122ms)
r3 s29 expected=group_size llm=group_size(1330ms) jev=group_size(402ms)
r3 s30 expected=group_size jev=group_size(362ms) llm=group_size(1848ms)
r3 s31 expected=late_arrival llm=late_arrival(1203ms) jev=late_arrival(377ms)
r3 s32 expected=late_arrival jev=late_arrival(409ms) llm=late_arrival(1332ms)
r3 s33 expected=late_arrival llm=late_arrival(1143ms) jev=late_arrival(384ms)
r3 s34 expected=late_arrival jev=late_arrival(357ms) llm=late_arrival(985ms)
r3 s35 expected=late_arrival llm=late_arrival(2472ms) jev=late_arrival(391ms)
r3 s36 expected=weather jev=weather(358ms) llm=weather(1273ms)
r3 s37 expected=weather llm=weather(1140ms) jev=weather(398ms)
r3 s38 expected=weather jev=weather(327ms) llm=weather(1201ms)
r3 s39 expected=weather llm=weather(1055ms) jev=weather(364ms)
r3 s40 expected=weather jev=weather(378ms) llm=weather(962ms)
r3 h01 expected=reschedule llm=reschedule(1226ms) jev=reschedule(417ms)
r3 h02 expected=weather jev=weather(1006ms) llm=refund(1199ms)
r3 h03 expected=other llm=other(1059ms) jev=other(331ms)
r3 h04 expected=other jev=other(380ms) llm=other(911ms)
r3 h05 expected=late_arrival llm=late_arrival(1190ms) jev=late_arrival(363ms)
r3 h06 expected=group_size jev=reschedule(342ms) llm=group_size(987ms)
r3 h07 expected=other llm=other(1343ms) jev=reschedule(324ms)
r3 h08 expected=other jev=other(369ms) llm=other(1385ms)
r3 h09 expected=other llm=other(1170ms) jev=other(420ms)
r3 h10 expected=weather jev=weather(331ms) llm=refund(2487ms)
r3 h11 expected=refund llm=refund(946ms) jev=refund(320ms)
r3 h12 expected=late_arrival jev=late_arrival(332ms) llm=late_arrival(1561ms)
r3 h13 expected=reschedule llm=reschedule(1574ms) jev=reschedule(512ms)
r3 h14 expected=other jev=other(527ms) llm=other(1168ms)
r3 h15 expected=reschedule llm=late_arrival(1247ms) jev=late_arrival(354ms)
r3 h16 expected=pricing jev=pricing(318ms) llm=pricing(1014ms)
r3 h17 expected=weather llm=weather(1027ms) jev=weather(610ms)
r3 h18 expected=reschedule jev=reschedule(437ms) llm=reschedule(1096ms)
r3 h19 expected=location llm=location(1178ms) jev=location(338ms)
r3 h20 expected=cancel jev=cancel(305ms) llm=cancel(855ms)
saved: results/raw/2026-09-18T11-18-14-993Z
